ispitanik	re? 1	re?2	modalitet	zadatak	response	malo dummy	mnogo dummy
a14	narandža	breskva	mnogo	cued	1	0	1
a14	vosak	sve?a	mnogo	cued	0	0	1
a14	deterdžent	sapun	mnogo	cued	0	0	1
a14	autobus	automobil	mnogo	cued	1	0	1
a14	pepeljara	cigareta	mnogo	cued	1	0	1
a14	cimet	bosiljak	mnogo	cued	0	0	1
a14	kiša	žaba	mnogo	cued	0	0	1
a14	tastatura	kompjuter	mnogo	cued	1	0	1
a14	reka	voda	mnogo	cued	1	0	1
a14	cvet	p?ela	mnogo	cued	0	0	1
a15	teorija	nauka	nula	cued	0	0	0
a15	znanje	memorija	nula	cued	0	0	0
a15	nasilje	agresija	nula	cued	0	0	0
a15	poštenje	moral	nula	cued	1	0	0
a15	ljubomora	zavist	nula	cued	1	0	0
a15	šansa	prilika	nula	cued	0	0	0
a15	optimizam	nada	nula	cued	1	0	0
a15	san	mašta	nula	cued	0	0	0
a15	verovanje	religija	nula	cued	1	0	0
a15	dogovor	politika	nula	cued	0	0	0
a15	snaga	sila	nula	cued	0	0	0
a15	plakat	bilbord	malo	cued	1	1	0
a15	odžak	krov	malo	cued	0	1	0
a15	igla	ubod	malo	cued	0	1	0
a15	sijalica	bandera	malo	cued	0	1	0
a15	sveska	olovka	malo	cued	0	1	0
a15	leptir	cvr?ak 	malo	cued	0	1	0
a15	šiške	trepavice	malo	cued	1	1	0
a15	fotografija	slika	malo	cued	0	1	0
a15	nož	kutla?a	malo	cued	0	1	0
a15	ekran	monitor	malo	cued	0	1	0
a15	cigla	kamen	malo	cued	1	1	0
a15	?arapa	patika	mnogo	cued	1	0	1
a15	narandža	breskva	mnogo	cued	1	0	1
a15	vosak	sve?a	mnogo	cued	1	0	1
a15	deterdžent	sapun	mnogo	cued	1	0	1
a15	autobus	automobil	mnogo	cued	1	0	1
a15	pepeljara	cigareta	mnogo	cued	1	0	1
a15	cimet	bosiljak	mnogo	cued	1	0	1
a15	kiša	žaba	mnogo	cued	0	0	1
a15	tastatura	kompjuter	mnogo	cued	1	0	1
a15	reka	voda	mnogo	cued	0	0	1
a15	cvet	p?ela	mnogo	cued	1	0	1
a16	teorija	nauka	nula	cued	0	0	0
a16	znanje	memorija	nula	cued	0	0	0
a16	nasilje	agresija	nula	cued	0	0	0
a16	poštenje	moral	nula	cued	0	0	0
a16	ljubomora	zavist	nula	cued	1	0	0
a16	šansa	prilika	nula	cued	0	0	0
a16	optimizam	nada	nula	cued	1	0	0
a16	san	mašta	nula	cued	1	0	0
a16	verovanje	religija	nula	cued	0	0	0
a16	dogovor	politika	nula	cued	0	0	0
a16	snaga	sila	nula	cued	0	0	0
a16	plakat	bilbord	malo	cued	0	1	0
a16	odžak	krov	malo	cued	1	1	0
a16	igla	ubod	malo	cued	0	1	0
a16	sijalica	bandera	malo	cued	0	1	0
a16	sveska	olovka	malo	cued	0	1	0
a16	leptir	cvr?ak 	malo	cued	0	1	0
a16	šiške	trepavice	malo	cued	1	1	0
a16	fotografija	slika	malo	cued	0	1	0
a16	nož	kutla?a	malo	cued	1	1	0
a16	ekran	monitor	malo	cued	0	1	0
a16	cigla	kamen	malo	cued	0	1	0
a16	?arapa	patika	mnogo	cued	1	0	1
a16	narandža	breskva	mnogo	cued	0	0	1
a16	vosak	sve?a	mnogo	cued	0	0	1
a16	deterdžent	sapun	mnogo	cued	0	0	1
a16	autobus	automobil	mnogo	cued	1	0	1
a16	pepeljara	cigareta	mnogo	cued	0	0	1
a16	cimet	bosiljak	mnogo	cued	0	0	1
a16	kiša	žaba	mnogo	cued	0	0	1
a16	tastatura	kompjuter	mnogo	cued	0	0	1
a16	reka	voda	mnogo	cued	0	0	1
a16	cvet	p?ela	mnogo	cued	0	0	1
a17	teorija	nauka	nula	cued	0	0	0
a17	znanje	memorija	nula	cued	0	0	0
a17	nasilje	agresija	nula	cued	0	0	0
a17	poštenje	moral	nula	cued	1	0	0
a17	ljubomora	zavist	nula	cued	0	0	0
a17	šansa	prilika	nula	cued	0	0	0
a17	optimizam	nada	nula	cued	1	0	0
a17	san	mašta	nula	cued	0	0	0
a17	verovanje	religija	nula	cued	0	0	0
a17	dogovor	politika	nula	cued	0	0	0
a17	snaga	sila	nula	cued	0	0	0
a17	plakat	bilbord	malo	cued	1	1	0
a17	odžak	krov	malo	cued	1	1	0
a17	igla	ubod	malo	cued	1	1	0
a17	sijalica	bandera	malo	cued	0	1	0
a17	sveska	olovka	malo	cued	0	1	0
a17	leptir	cvr?ak 	malo	cued	1	1	0
a17	šiške	trepavice	malo	cued	1	1	0
a17	fotografija	slika	malo	cued	1	1	0
a17	nož	kutla?a	malo	cued	1	1	0
a17	ekran	monitor	malo	cued	1	1	0
a17	cigla	kamen	malo	cued	0	1	0
a17	?arapa	patika	mnogo	cued	1	0	1
a17	narandža	breskva	mnogo	cued	1	0	1
a17	vosak	sve?a	mnogo	cued	1	0	1
a17	deterdžent	sapun	mnogo	cued	1	0	1
a17	autobus	automobil	mnogo	cued	1	0	1
a17	pepeljara	cigareta	mnogo	cued	0	0	1
a17	cimet	bosiljak	mnogo	cued	0	0	1
a17	kiša	žaba	mnogo	cued	1	0	1
a17	tastatura	kompjuter	mnogo	cued	0	0	1
a17	reka	voda	mnogo	cued	0	0	1
a17	cvet	p?ela	mnogo	cued	1	0	1
a18	teorija	nauka	nula	cued	1	0	0
